Geotek MSCL 7.9 - TN336_JPC11-11.raw created at 1:10:23 on 1/21/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_JPC11-11.out created at 8:27:02 on 1/21/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.001,1,0.1,4.61,999,0,6591,94,19.56,201.9,,0.001,1,0.1,10.641,0,109.4449,1.1361,81.1817,71.4569,124.3397,0.9361,1.6604
0.011,1,1.1,4.31,96.7,0.0003,3405,114,19.55,230.7,,0.011,1,1.1,10.611,0.0003,1516.507,1.9903,99.2546,49.8683,3018.356,0.4406,1.4273
0.021,1,2.1,4.58,91.87,0.0006,3497,129,19.55,277.5,,0.021,1,2.1,10.638,0.0006,1633.098,1.9479,111.4991,57.2404,3181.127,0.4652,1.1571
0.031,1,3.1,4.31,999,0,3480,138,19.55,317,,0.031,1,3.1,10.611,0,109.1364,1.9597,120.1503,61.3108,213.8736,0.4584,0.9948
0.041,1,4.1,3.9,999,0,3639,144,19.54,346.9,,0.041,1,4.1,10.57,0,108.7147,1.9049,126.7743,66.5531,207.0862,0.4902,0.8981
0.051,1,5.1,-0.71,999,0,3588,149,19.55,369.5,,0.051,1,5.1,10.109,0,103.9732,2.0123,149.1514,74.1216,209.2203,0.4279,0.8361
0.061,1,6.1,-1.57,999,0,3586,151,19.56,385.8,,0.061,1,6.1,10.023,0,103.0886,2.0303,154.9333,76.3091,209.3049,0.4174,0.7959
0.071,1,7.1,-1.73,999,0,3612,154,19.55,396.9,,0.071,1,7.1,10.007,0,102.9241,2.023,158.7434,78.4709,208.2111,0.4217,0.7707
0.081,1,8.1,-1.99,85.08,0.0013,3635,157,19.56,405.8,,0.081,1,8.1,9.981,0.0013,1710.54,2.0189,163.0586,80.7666,3453.385,0.4241,0.7516
0.091,1,9.1,-2.34,85.53,0.0084,3661,159,19.55,413.8,,0.091,1,9.1,9.946,0.0084,1691.497,2.0155,166.8235,82.7709,3409.188,0.4261,0.7351
0.101,1,10.1,-2.35,85.9,0.0224,3651,161,19.54,417.2,,0.101,1,10.1,9.945,0.0224,1680.75,2.0197,168.9711,83.6608,3394.641,0.4236,0.7283
