Geotek MSCL 7.9 - TN336_JPC19-22.raw created at 23:42:57 on 1/22/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_JPC19-22.out created at 23:44:12 on 1/22/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,µsec,,cps,SI x 10^-5,¡C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.001,1,0.1,7.65,999,0,7445,9,17.43,271,,0.001,1,0.1,10.945,0,112.5045,0.9485,7.1713,7.5604,106.7149,1.0449,1.1602
0.011,1,1.1,7.79,999,0,5012,12,17.43,326,,0.011,1,1.1,10.959,0,112.6484,1.4201,9.527,6.7089,159.967,0.7714,0.9493
0.021,1,2.1,7.46,999,0,5044,14,17.43,423.5,,0.021,1,2.1,10.926,0,112.3092,1.4164,11.2108,7.915,159.0753,0.7735,0.7147
0.031,1,3.1,7.09,999,0,5028,15,17.44,514.8,,0.031,1,3.1,10.889,0,111.9289,1.4252,12.1284,8.51,159.5203,0.7684,0.5784
0.041,1,4.1,6.58,999,0,5146,15,17.44,577.8,,0.041,1,4.1,10.838,0,111.4046,1.4028,12.2921,8.7625,156.2784,0.7814,0.5104
0.051,1,5.1,3.78,999,0,5104,17,17.44,623.9,,0.051,1,5.1,10.558,0,108.5265,1.4505,15.0153,10.3515,157.4218,0.7537,0.4696
0.061,1,6.1,3.08,97.31,0.0004,5037,17,17.44,653.4,,0.061,1,6.1,10.488,0.0004,1473.862,1.4774,15.3049,10.3596,2177.426,0.7382,0.4466
0.071,1,7.1,2.98,97.33,0.0004,5020,17,17.44,669.6,,0.071,1,7.1,10.478,0.0004,1472.043,1.4832,15.3469,10.3474,2183.288,0.7348,0.4349
0.081,1,8.1,2.92,92.8,0.0005,4949,18,17.45,673.8,,0.081,1,8.1,10.472,0.0005,1571.193,1.5026,16.2764,10.8322,2360.867,0.7236,0.4319
0.091,1,9.1,2.91,93.01,0.0014,4987,18,17.45,666.1,,0.091,1,9.1,10.471,0.0014,1566.108,1.4928,16.2809,10.9066,2337.816,0.7293,0.4374
0.101,1,10.1,2.83,97.36,0.0029,5029,19,17.45,643.9,,0.101,1,10.1,10.463,0.0029,1469.316,1.483,17.2232,11.614,2178.939,0.7349,0.4538
0.111,1,11.1,2.89,98.02,0.0154,5052,19,17.44,649.9,,0.111,1,11.1,10.469,0.0154,1456.658,1.4762,17.1948,11.6482,2150.28,0.7389,0.4492
0.121,1,12.1,2.91,93.97,0.0058,5043,18,17.45,652.2,,0.121,1,12.1,10.471,0.0058,1543.94,1.4782,16.2809,11.0139,2282.269,0.7377,0.4475
0.131,1,13.1,3.01,104.54,0.0039,5043,19,17.44,654,,0.131,1,13.1,10.481,0.0039,1337.033,1.4768,17.1383,11.605,1974.531,0.7385,0.4461
0.141,1,14.1,3.09,98.04,0.0042,5098,18,17.44,659.5,,0.141,1,14.1,10.489,0.0042,1459.035,1.4616,16.2007,11.0842,2132.531,0.7473,0.4422
0.151,1,15.1,3.16,94.06,0.0071,5075,19,17.46,662.3,,0.151,1,15.1,10.496,0.0071,1545.575,1.4665,17.068,11.6387,2266.565,0.7445,0.4401
0.161,1,16.1,3.47,94.55,0.0097,5144,19,17.46,665.6,,0.161,1,16.1,10.527,0.0097,1539.035,1.4447,16.9241,11.7142,2223.511,0.7571,0.4378
0.171,1,17.1,3.47,94.55,0.0021,5090,19,17.47,666.5,,0.171,1,17.1,10.527,0.0021,1539.035,1.4584,16.9241,11.6049,2244.46,0.7492,0.4371
0.181,1,18.1,3.76,95.03,0.0004,5096,20,17.47,668.8,,0.181,1,18.1,10.556,0.0004,1532.52,1.4528,17.6746,12.1657,2226.495,0.7524,0.4355
0.191,1,19.1,4.03,95.66,0.005,5016,20,17.46,669.1,,0.191,1,19.1,10.583,0.005,1522.515,1.4695,17.5456,11.94,2237.306,0.7428,0.4353
0.201,1,20.1,4.48,95.29,0.0019,4934,20,17.46,668.9,,0.201,1,20.1,10.628,0.0019,1537.171,1.4844,17.3333,11.6766,2281.85,0.7341,0.4354
0.211,1,21.1,6.9,101.45,0.0002,4946,20,17.47,665.2,,0.211,1,21.1,10.87,0.0002,1443.559,1.4483,16.252,11.2211,2090.767,0.755,0.438
0.221,1,22.1,7.13,96.37,0.0007,5059,20,17.47,660.4,,0.221,1,22.1,10.893,0.0007,1551.267,1.417,16.1542,11.4004,2198.122,0.7732,0.4415
0.231,1,23.1,7.14,100.09,0.0002,5080,19,17.47,652.9,,0.231,1,23.1,10.894,0.0002,1473.357,1.4117,15.3425,10.8683,2079.909,0.7763,0.447
